mcid,movie_id,company_id,ctype,note
8320,13908,2608,production,
8321,1417,2029,production,
8322,1417,7470,production,
8323,1417,11628,production,
8324,39180,79,production,
8325,39180,172,production,
8326,39180,3929,production,
8327,39180,6194,production,
8328,39180,76292,production,
8329,16161,5,production,
8330,16161,1947,production,
8331,49950,829,production,
8332,49950,3287,production,
8333,10956,5,production,
8334,10956,2608,production,
8335,9594,3470,production,
8336,4638,33,production,
8337,4638,443,production,
8338,4638,694,production,
8339,4638,3656,production,
8340,4638,10163,production,
8341,13972,12,production,
8342,5038,308,production,
8343,5038,1824,production,
8344,5038,6538,production,
8345,5038,8530,production,
8346,5038,11737,production,
8347,5038,12010,production,
8348,13491,119,production,
8349,13491,823,production,
8350,13491,2800,production,
8351,13491,2802,production,
8352,13491,2888,production,
8353,13491,4250,production,
8354,13491,5975,production,
8355,13491,6181,production,
8356,13491,9375,production,
8357,13491,11682,production,
8358,13491,17513,production,
8359,13491,18843,production,
8360,13491,22675,production,
8361,13491,22676,production,
8362,13491,24991,production,
8363,13491,24992,production,
8364,13491,24993,production,
8365,10571,13158,production,
8366,10994,254,production,
8367,10994,1512,production,
8368,10994,5367,production,
8369,10994,6194,production,
8370,10994,12426,production,
8371,19994,444,production,
8372,19994,2890,production,
8373,25166,14589,production,
8374,25166,37498,production,
8375,30890,41,production,
8376,23169,491,production,
8377,17403,1867,production,
8378,17403,10146,production,
8379,17403,14718,production,
8380,12120,6313,production,
8381,12120,6314,production,
8382,9800,559,production,
8383,9800,1274,production,
8384,1090,5,production,
8385,1090,620,production,
8386,18475,3494,production,
8387,40160,2379,production,
8388,40160,9266,production,
8389,40160,33304,production,
8390,18074,915,production,
8391,18074,10157,production,
8392,18074,14159,production,
8393,9689,27,production,
8394,9781,12,production,
8395,9781,3242,production,
8396,9781,90195,production,
8397,9781,90196,production,
8398,9781,90197,production,
8399,8009,2737,production,
8400,8009,6179,production,
8401,3877,27,production,
8402,3877,1522,production,
8403,3877,7293,production,
8404,3877,12200,production,
8405,8854,2554,production,
8406,8854,6194,production,
8407,8854,9993,production,
8408,152599,770,production,
8409,152599,9015,production,
8410,18840,58,production,
8411,18840,3407,production,
8412,18840,20740,production,
8413,68727,6708,production,
8414,68727,7981,production,
8415,68727,8286,production,
8416,68727,9349,production,
8417,12657,8411,production,
8418,8265,310,production,
8419,8265,356,production,
8420,8265,866,production,
8421,8265,2355,production,
8422,8265,5358,production,
8423,8265,6301,production,
8424,8265,11434,production,
8425,8265,11544,production,
8426,8265,11545,production,
8427,34647,225,production,
8428,34647,856,production,
8429,73935,11093,production,
8430,73935,12178,production,
8431,28178,1843,production,
8432,28178,7419,production,
8433,28178,11278,production,
8434,28178,11341,production,
8435,28178,66327,production,
8436,28178,66328,production,
8437,185567,616,production,
8438,185567,1115,production,
8439,185567,5358,production,
8440,185567,7981,production,
8441,185567,23616,production,
8442,185567,34044,production,
8443,185567,34774,production,
8444,264656,2322,production,
8445,264656,6896,production,
8446,264656,11765,production,
8447,35696,6194,production,
8448,35696,10210,production,
8449,16351,803,production,
8450,16351,805,production,
8451,16351,12800,production,
8452,18777,737,production,
8453,18777,2150,production,
8454,18777,8802,production,
8455,18777,68097,production,
8456,2110,104,production,
8457,2110,356,production,
8458,2110,480,production,
8459,2110,963,production,
8460,2110,6896,production,
8461,9035,33,production,
8462,90,4,production,
8463,90,30,production,
8464,771,306,production,
8465,771,477,production,
8466,12154,9195,production,
8467,12154,10201,production,
8468,9576,441,production,
8469,9576,932,production,
8470,9576,2154,production,
8471,9576,4267,production,
8472,9576,10932,production,
8473,744,4,production,
8474,146,58,production,
8475,146,2269,production,
8476,146,2798,production,
8477,146,10565,production,
8478,146,12205,production,
8479,146,20289,production,
8480,146,20290,production,
8481,146,20291,production,
8482,14,27,production,
8483,14,2721,production,
8484,45269,308,production,
8485,45269,2452,production,
8486,45269,5005,production,
8487,45269,7217,production,
8488,45269,7309,production,
8489,45269,7493,production,
8490,45269,19578,production,
8491,45269,19579,production,
